Tenor,Strike,NormalVol
1Yr,-1.00%,284.76
2Yr,-1.00%,190.45
3Yr,-1.00%,158.78
4Yr,-1.00%,140.91
5Yr,-1.00%,129.31
6Yr,-1.00%,121.03
7Yr,-1.00%,115.11
8Yr,-1.00%,110.6
9Yr,-1.00%,106.87
10Yr,-1.00%,103.68
12Yr,-1.00%,98.79
15Yr,-1.00%,94.17
20Yr,-1.00%,88.49
25Yr,-1.00%,82.27
30Yr,-1.00%,74.57
1Yr,0.00%,229.5
2Yr,0.00%,153.05
3Yr,0.00%,127.6
4Yr,0.00%,113.27
5Yr,0.00%,104.03
6Yr,0.00%,97.49
7Yr,0.00%,92.88
8Yr,0.00%,89.42
9Yr,0.00%,86.56
10Yr,0.00%,84.11
12Yr,0.00%,80.37
15Yr,0.00%,76.83
20Yr,0.00%,72.26
25Yr,0.00%,67.04
30Yr,0.00%,60.53
1Yr,1.00%,174.68
2Yr,1.00%,133.39
3Yr,1.00%,105.37
4Yr,1.00%,93.92
5Yr,1.00%,91.83
6Yr,1.00%,90.97
7Yr,1.00%,90.68
8Yr,1.00%,90.59
9Yr,1.00%,91.62
10Yr,1.00%,91.57
12Yr,1.00%,91.44
15Yr,1.00%,91.04
20Yr,1.00%,89.59
25Yr,1.00%,87.5
30Yr,1.00%,84.69
1Yr,1.50%,147.73
2Yr,1.50%,119.77
3Yr,1.50%,96.9
4Yr,1.50%,92.89
5Yr,1.50%,92.95
6Yr,1.50%,93.07
7Yr,1.50%,93.29
8Yr,1.50%,93.51
9Yr,1.50%,94.84
10Yr,1.50%,94.95
12Yr,1.50%,95.1
15Yr,1.50%,95.0
20Yr,1.50%,93.97
25Yr,1.50%,92.32
30Yr,1.50%,90.03
1Yr,2.00%,119.09
2Yr,2.00%,107.47
3Yr,2.00%,95.21
4Yr,2.00%,94.99
5Yr,2.00%,94.89
6Yr,2.00%,94.88
7Yr,2.00%,95.02
8Yr,2.00%,95.2
9Yr,2.00%,96.48
10Yr,2.00%,96.6
12Yr,2.00%,96.76
15Yr,2.00%,96.79
20Yr,2.00%,96.09
25Yr,2.00%,94.78
30Yr,2.00%,92.88
1Yr,2.50%,106.91
2Yr,2.50%,106.07
3Yr,2.50%,97.33
4Yr,2.50%,97.14
5Yr,2.50%,97.05
6Yr,2.50%,97.06
7Yr,2.50%,97.2
8Yr,2.50%,97.39
9Yr,2.50%,98.71
10Yr,2.50%,98.86
12Yr,2.50%,99.04
15Yr,2.50%,99.16
20Yr,2.50%,98.64
25Yr,2.50%,97.54
30Yr,2.50%,95.9
1Yr,3.00%,105.7
2Yr,3.00%,106.12
3Yr,3.00%,99.33
4Yr,3.00%,99.15
5Yr,3.00%,99.07
6Yr,3.00%,99.09
7Yr,3.00%,99.23
8Yr,3.00%,99.41
9Yr,3.00%,100.72
10Yr,3.00%,100.86
12Yr,3.00%,101.11
15Yr,3.00%,101.25
20Yr,3.00%,100.85
25Yr,3.00%,99.9
30Yr,3.00%,98.45
1Yr,3.50%,106.44
2Yr,3.50%,106.9
3Yr,3.50%,101.23
4Yr,3.50%,101.05
5Yr,3.50%,100.98
6Yr,3.50%,101.0
7Yr,3.50%,101.13
8Yr,3.50%,101.32
9Yr,3.50%,102.61
10Yr,3.50%,102.76
12Yr,3.50%,102.98
15Yr,3.50%,103.16
20Yr,3.50%,102.86
25Yr,3.50%,102.01
30Yr,3.50%,100.7
1Yr,4.00%,107.52
2Yr,4.00%,107.93
3Yr,4.00%,103.01
4Yr,4.00%,102.84
5Yr,4.00%,102.77
6Yr,4.00%,102.79
7Yr,4.00%,102.93
8Yr,4.00%,103.12
9Yr,4.00%,104.45
10Yr,4.00%,104.61
12Yr,4.00%,104.84
15Yr,4.00%,105.05
20Yr,4.00%,104.8
25Yr,4.00%,104.03
30Yr,4.00%,102.82
1Yr,5.00%,109.92
2Yr,5.00%,109.37
3Yr,5.00%,106.25
4Yr,5.00%,106.1
5Yr,5.00%,106.06
6Yr,5.00%,106.11
7Yr,5.00%,106.29
8Yr,5.00%,106.51
9Yr,5.00%,107.85
10Yr,5.00%,108.02
12Yr,5.00%,108.34
15Yr,5.00%,108.55
20Yr,5.00%,108.37
25Yr,5.00%,107.66
30Yr,5.00%,106.53
1Yr,6.00%,112.34
2Yr,6.00%,111.57
3Yr,6.00%,121.51
4Yr,6.00%,109.08
5Yr,6.00%,109.08
6Yr,6.00%,109.18
7Yr,6.00%,109.41
8Yr,6.00%,109.69
9Yr,6.00%,111.03
10Yr,6.00%,111.24
12Yr,6.00%,111.51
15Yr,6.00%,111.85
20Yr,6.00%,111.67
25Yr,6.00%,110.96
30Yr,6.00%,109.83
1Yr,7.00%,114.73
2Yr,7.00%,113.78
3Yr,7.00%,111.92
4Yr,7.00%,111.84
5Yr,7.00%,111.89
6Yr,7.00%,112.03
7Yr,7.00%,112.32
8Yr,7.00%,112.64
9Yr,7.00%,114.02
10Yr,7.00%,114.2
12Yr,7.00%,114.6
15Yr,7.00%,114.91
20Yr,7.00%,114.72
25Yr,7.00%,113.97
30Yr,7.00%,112.81
